Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
1,Spiritual Task 1: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"101 XP, 21 coins",None
2,Creative Task 2: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"102 XP, 22 coins",None
3,Fitness Task 3: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"103 XP, 23 coins",None
4,Exploration Task 4: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"104 XP, 24 coins",None
5,Fitness Task 5: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"105 XP, 25 coins",None
6,Governance Task 6: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"106 XP, 26 coins",None
7,Engineering Task 7: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"107 XP, 27 coins",None
8,Education Task 8: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"108 XP, 28 coins",None
9,Engineering Task 9: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"109 XP, 29 coins",None
10,Spiritual Task 10: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"110 XP, 20 coins",None
11,Survival Task 11: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"111 XP, 21 coins",None
12,Education Task 12: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"112 XP, 22 coins",None
13,Social Task 13: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"113 XP, 23 coins",None
14,Spiritual Task 14: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"114 XP, 24 coins",None
15,Governance Task 15: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"115 XP, 25 coins",None
16,Education Task 16: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"116 XP, 26 coins",None
17,Engineering Task 17: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"117 XP, 27 coins",None
18,Creative Task 18: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"118 XP, 28 coins",None
19,Spiritual Task 19: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"119 XP, 29 coins",None
20,Fitness Task 20: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"120 XP, 20 coins","Exclusive knowledge, priority access to research"
21,Education Task 21: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"121 XP, 21 coins",None
22,Social Task 22: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"122 XP, 22 coins",None
23,Governance Task 23: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"123 XP, 23 coins",None
24,Survival Task 24: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"124 XP, 24 coins",None
25,Governance Task 25: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"125 XP, 25 coins",None
26,Innovation Task 26: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"126 XP, 26 coins",None
27,Exploration Task 27: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"127 XP, 27 coins",None
28,Innovation Task 28: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"128 XP, 28 coins",None
29,Engineering Task 29: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"129 XP, 29 coins",None
30,Governance Task 30: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"130 XP, 20 coins",None
31,Fitness Task 31: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"131 XP, 21 coins",None
32,Social Task 32: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"132 XP, 22 coins",None
33,Innovation Task 33: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"133 XP, 23 coins",None
34,Engineering Task 34: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"134 XP, 24 coins",None
